Film;Tur;Yonetmen;Yazar;Hasilat;IMDB
 Kolpaçino: 4 4'lük;Komedi;Kamil Çetin;Safak Sezer;$7.343.114;2,80
Rafadan Tayfa: Hayrimatör;Animasyon;Ýsmail Fidan;Arzu Yurtseven;$8,824,101;5,40
Lohusa;Komedi;Kivanç Baruönü;Gupse Özay;$8,809,952;5,30
3391 Kilometre;Romantik;Deniz Enyüksek;Fulya Özcan;$3,424,225;4,20
Siccin;Korku;Alper Mestçi;Alper Mestçi;$2,975,473;4,20
Kral Þakir: Devler Uyandý;Animasyon;Haluk Can Dizdaroðlu;Haluk Can Dizdaroðlu;$2,268,769;5,40
Ýllegal Hayatlar: Meclis;Komedi;Cenk Çelik;Cenk Çelik;$2,563,443;6,80
Mutluyuz;Komedi;Ýbrahim Büyükak;Ýbrahim Büyükak;$1,727,388;4,40
Kardeþ Takýmý;Komedi;Mustafa Kotan;Meriç Aydýn;$1,650,782;3,50
Pýrýl: Sayýlarýn Gizemi;Animasyon;Fatih Bezirgan;Neslihan Bayram Saçihan;$1,865,185;8,80
Mustafa;Animasyon;H. Sinan Güngör;Sinem Doðangönül;$1,427,174;6,70
0000 Kilometre;Romantik;Deniz Enyüksek;Fulya Özcan;$1,437,372;2,90
Zaferin Rengi;Dram;Abdullah Oðuz;Safran Banu Erdoðan;$1,261,359;6,10
Hatýran Yeter;Dram;Ömer Faruk Yardýmcý;Ýlter Aykaç;$882,564;5,60
Kaptan Pengu ve Arkadaþlarý 4: Buzuldaki Sýr;Animasyon;Ali Karaçam;Arzu Yurtseven;$1,008,298;5,30
Bir Cumhuriyet Þarkýsý;Biyografi;Yaðýz Alp Akaydýn;Yaðýz Alp Akaydýn;$1,211,195;7,70
 Efsane;Komedi;Selçuk Aydemir;Selçuk Aydemir;$859,967;5,10
Cem Karaca'nýn Gözyaþlarý;Biyografi;Yüksel Aksu;Onur Böber;$957,421;7,20
Cadý;Psikolojik Gerilim;Erman Bostan;Erman Bostan;$811,738;6,40
Erdal ile Ece;Komedi;Togan Gökbakar;Þahan Gökbakar;$855,778;4,30
Gelin Takýmý;Komedi;Doða Can Anafarta;Doðan Can Anafarta;$936,433;2,40
C Takýmý;Komedi;Bora Onur;Ayhan Barýþ Baþar;$446,031;4,10
Tay 2: Ebabil Takýmý;Animasyon;Nurullah Yenihan;Nurulla Yenihan;$364,395;5,40
Üç Harfliler: Nazar;Korku;Melodi Tözüm;Melodi Tözüm;$433,356;5,70
Hep Yek: Aþiret;Komedi;Bilal Kalyoncu;Bilal Kalyoncu;$428,151;2,30
Dedemin Gözyaþlarý;Dram;Ýhsan Taþ;Ýhsan Taþ;$230,217;7,20
Ekip: Siberay - Güneþ Fýrtýnasý;Animasyon;H. Sinan Güngör;Sinem Doðangönül;$375,564;6,00
Afacanlar Kampta;Komedi;Enes Ateþ;Oðuz Ayaz;$300,852;4,50
Takýntýlar;Komedi;Yunus Nihat Özcan;Ferhat Ergün;$264,072;2,30
Hüddam 4: Ahmer;Korku;Utku Uçar;Utku Uçar;$193,761;4,20
Küffar;Korku;Mesut Erbaþ;Burak Küçük;$192,969;4,30
Yaþam Koçu;Komedi;Burak Kuka;Doðu Demirkol;$176,864;3,80
Nemlizade;Komedi;Selçuk Aydemir;Onur Gökçek;$189,849;5,80
Zir-i Cin 3: Cin Düðümü;Korku;Burak Küçük;Burak Küçük;$192,269;3,50
Demon: Azab-ül Kem;Korku;Mustafa Miraç Kaya;Mustafa Miraç Kaya;$125,438;5,80
 Hayatla Barýþ;Biyografi;Ekin Pandir;Ülkü Akkoyunlu;$120,299;6,20
Geniþ Aile 4: Cevahir & Ulvi;Komedi;Cüneyt Ýnay;Cüneyt Ýnay;$175,003;6,90
Ýki Gözüm Ahmet: Sürgün;Biyografi;Hakan Gürtop;Ýlker Barýþ;$133,591;3,80
Son Þarký: Ahmet'in Türküsü;Biyografi;Kudret Sabancý;Engin Elgün;$117,389;1,60
Ýyi Bir Aile Deðiliz;Komedi;Haki Biçici;Haki Biçici;$119,168;5,80
Kabir Azabý: Ýnsi ve Cinni;Korku;Gökhan Ari;Gökhan Ari;$108,648;4,30
 Mükemmel Aile;Komedi;Hakan Eser;Ayberk Çýnar;$83,866;6,80
Baþkan;Komedi;Ulaþ Bahadýr;Ulaþ Bahadýr;$61,283;5,80
Oyunda Kal: Eðlence Arenasý;Macera;Ýlker Savaþkurt;Doðan Akdoðan;$112,170;1,80
Aile Çýkmazý;Komedi;Emre Bahadýr Çýrakoðlu;Özgür Akçay;$66,201;3,10
Mucize Aynalar;Komedi;Tolga Örnek;Tolga Örnek;$105,821;6,50
Dengeler;Suç;Süleyman Mert Demir;Sarp Kalfaoðlu;$101,689;7,50
Haydi Tut Elimi;Aile;Tuðçe Soysop;Ali Ateþ;$86,003;6,10
Güneþi Söndürmem Gerek;Dram;Hande Türkel;Doðukan Can Timur;$85,595;3,60
Garez;Korku;Can Beslen;Utku Uçar;$94,792;2,80
Çýlgýn Dersane 5: Updated;Komedi;Yasemin Türkmenli;Þafak Güçlü;$95,377;3,50
 Hannas 2;Korku;Gökhan Ari;Mehmet Ali Tugay;$79.112;2,70
Emanet;Aksiyon;Ali Ýlhan;Haluk Özenç;$50,843;7,90
Baba Beni Güldürsene;Komedi;Emrah Agus;Dinar Kahveci;$92,932;7,20
Zah-Har: Cin Ahalisi;Korku;Battal Karslioðlu;Tayfun Gedikoðlu;$80,497;3,80
Aþk Mevsimi;Romantik;Murat Þeker;Murat Þeker;$72,544;5,00
MAKKA: Cinn-i Azap;Korku;Mert Uzunmehmet;Tarýk Çiçek;$69,185;4,70
Barda;Gerilim;Hande Türkel;Orçun Benli;$185,250;5,30
Veda Partisi;Komedi;Ufuk Cebeci;Ayhan Barýþ Baþar;$67,272;6,50
Leyli Di;Komedi;Kamil Aydýn;Ali Can Yaras;$66,246;2,20
Dünya Varmýþ;Macera;Ali Adnan Özgür;Sarp Bozkurt;$50,808;7,80
Alem-i Cin 5: Azap;Korku;Ahmet Arslan;Ahmet Arslan;$53,662;4,30
Arap Kadri;Komedi;Emre Kavuk;Volkan Öge;$53,238;3,80
Tereddüt Çizgisi;Dram;Selman Nacar;Selman Nacar;$52,262;6,60
Rahha;Korku;lker Cavga;Ulukan Agdas;$49,642;2,70
 Meþru Gayrimeþru;Komedi;Ömer Kaydi;Ömer Kaydi;$43,994;7,70
Sobe: Sakallý Bebek;Korku;Mustafa Miraç Kaya;Mustafa Miraç Kaya;$45,690;4,60
Mukadderat;Komedi;Nadim Güç;Erdi Isik;$474,736;7,30
 Koparan Kardeþler;Komedi;Bilal Kalyoncu;Hasan Goktas;$45,775;1,30
3310'dan Tüm Birimlere;Dram;Mazlum Yigit;Mazlum Yigit;$31,417;5,60
Üç Günlük Dünya;Komedi;Caner Erzincan;Caner Erzincan;$42,005;8,90
3. Gece Habis;Korku;Anastasiya Budakva;Murat Güleç;$40,814;7,20
 Bakkal Amca: Mahmut Tuncer;Komedi;Bilal Kalyoncu;Özgür Bakar;$37,853;3,90
 La Hayde Maske;Komedi;Sefa Özçelik;Sefa Özçelik;$34,644;6,80
Çingene Kýzý Zeugma;Komedi;Kamil Çetin;Cavidan Balci;$33,990;2,80
Türkler Çýldýrmýþ Olmalý 2: Mavi Vatan;Komedi;Murat Aslan;Murat Aslan;$28,280;2,10
Sýrrýný Biliyorum;Dram;Battal Karslioglu;Ebru Erdemoglu;$17,024;0,00
Hükümet Bey;Dram;Fatih Yildirim;Fatih Yildirim;$12,096;4,40
Filme Gel;Komedi;Ýhsan Tas;Ýhsan Tas;$9,765;4,20
Ýnadýyla Þampiyon;Belgesel;Bedran Güzel;Bedran Güzel;$23,752;1,30
Köprü;Dram;Erekle Badurashvili;Otar Pertakhia;$250,000;3,70
Sadýk Ahmet;Biyografi;Hakan Yonat;Mert Dikmen;$0;7,70
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
